           # s        inv_Ta        inv_Tb        inv_Tz
         # (m)         (1/s)         (1/s)         (1/s)
 # delta_s =   0.10000000149011612     
      30.50000   -5.4564E-31   -1.5878E-37   -7.9116E-35
      30.60000   -5.4923E-31   -1.5990E-37   -7.9562E-35
      30.70000   -5.5277E-31   -1.6098E-37   -8.0009E-35
      30.80000   -5.5620E-31   -1.6199E-37   -8.0446E-35
      30.90000   -5.5952E-31   -1.6293E-37   -8.0875E-35
      31.00000   -5.6276E-31   -1.6381E-37   -8.1299E-35
      31.10000   -5.6592E-31   -1.6464E-37   -8.1718E-35
      31.20000   -5.6903E-31   -1.6543E-37   -8.2133E-35
      31.30000   -5.7212E-31   -1.6618E-37   -8.2545E-35
      31.40000   -5.7518E-31   -1.6689E-37   -8.2954E-35
      31.50000   -5.7822E-31   -1.6757E-37   -8.3362E-35
      31.60000   -5.8122E-31   -1.6823E-37   -8.3770E-35
      31.70000   -5.8418E-31   -1.6886E-37   -8.4180E-35
      31.80000   -5.8711E-31   -1.6946E-37   -8.4592E-35
      31.90000   -5.9001E-31   -1.7005E-37   -8.5005E-35
      32.00000   -5.9287E-31   -1.7062E-37   -8.5421E-35
      32.10000   -5.9571E-31   -1.7117E-37   -8.5840E-35
      32.20000   -5.9853E-31   -1.7170E-37   -8.6262E-35
      32.30000   -6.0131E-31   -1.7221E-37   -8.6686E-35
      32.40000   -6.0407E-31   -1.7271E-37   -8.7114E-35
      32.50000   -6.0680E-31   -1.7320E-37   -8.7546E-35
      32.60000   -6.0951E-31   -1.7367E-37   -8.7981E-35
      32.70000   -6.1219E-31   -1.7413E-37   -8.8420E-35
      32.80000   -6.1484E-31   -1.7458E-37   -8.8863E-35
      32.90000   -6.1746E-31   -1.7501E-37   -8.9310E-35
      33.00000   -6.2006E-31   -1.7543E-37   -8.9762E-35
      33.10000   -6.2263E-31   -1.7585E-37   -9.0217E-35
      33.20000   -6.2517E-31   -1.7625E-37   -9.0678E-35
      33.30000   -6.2768E-31   -1.7664E-37   -9.1142E-35
      33.40000   -6.3016E-31   -1.7702E-37   -9.1612E-35
      33.50000   -6.3260E-31   -1.7740E-37   -9.2086E-35
      33.60000   -6.3502E-31   -1.7776E-37   -9.2564E-35
      33.70000   -6.3740E-31   -1.7812E-37   -9.3048E-35
      33.80000   -6.3975E-31   -1.7847E-37   -9.3536E-35
      33.90000   -6.4208E-31   -1.7881E-37   -9.4028E-35
      34.00000   -6.4440E-31   -1.7915E-37   -9.4520E-35
      34.10000   -6.4672E-31   -1.7947E-37   -9.5011E-35
      34.20000   -6.4904E-31   -1.7979E-37   -9.5502E-35
      34.30000   -6.5136E-31   -1.8010E-37   -9.5993E-35
      34.40000   -6.5367E-31   -1.8041E-37   -9.6483E-35
      34.50000   -6.5598E-31   -1.8071E-37   -9.6972E-35
      34.60000   -6.5830E-31   -1.8100E-37   -9.7462E-35
      34.70000   -6.6061E-31   -1.8129E-37   -9.7952E-35
      34.80000   -6.6294E-31   -1.8159E-37   -9.8444E-35
      34.90000   -6.6523E-31   -1.8189E-37   -9.8930E-35
