           # s        inv_Ta        inv_Tb            Ha            Hb
         # (m)         (1/s)         (1/s)           (m)           (m)
      25.30000    1.1237E-01    0.0000E+00    7.1811E+00    0.0000E+00
      25.40000    1.0995E-01    0.0000E+00    7.1643E+00    0.0000E+00
      25.50000    1.0755E-01    0.0000E+00    7.1469E+00    0.0000E+00
      25.60000    1.0516E-01    0.0000E+00    7.1289E+00    0.0000E+00
      25.70000    1.0278E-01    0.0000E+00    7.1102E+00    0.0000E+00
      25.80000    1.0040E-01    0.0000E+00    7.0910E+00    0.0000E+00
      25.90000    9.8027E-02    0.0000E+00    7.0711E+00    0.0000E+00
      26.00000    9.5654E-02    0.0000E+00    7.0506E+00    0.0000E+00
      26.10000    9.3281E-02    0.0000E+00    7.0295E+00    0.0000E+00
      26.20000    9.0906E-02    0.0000E+00    7.0077E+00    0.0000E+00
      26.30000    8.8528E-02    0.0000E+00    6.9853E+00    0.0000E+00
      26.40000    8.6147E-02    0.0000E+00    6.9623E+00    0.0000E+00
      26.50000    8.3762E-02    0.0000E+00    6.9386E+00    0.0000E+00
      26.60000    8.1374E-02    0.0000E+00    6.9143E+00    0.0000E+00
      26.70000    7.8984E-02    0.0000E+00    6.8894E+00    0.0000E+00
      26.80000    7.6593E-02    0.0000E+00    6.8638E+00    0.0000E+00
      26.90000    7.4203E-02    0.0000E+00    6.8375E+00    0.0000E+00
      27.00000    7.2042E-02    0.0000E+00    6.8319E+00    0.0000E+00
      27.10000    6.9938E-02    0.0000E+00    6.8319E+00    0.0000E+00
      27.20000    6.7833E-02    0.0000E+00    6.8319E+00    0.0000E+00
      27.30000    6.5731E-02    0.0000E+00    6.8319E+00    0.0000E+00
      27.40000    6.3636E-02    0.0000E+00    6.8319E+00    0.0000E+00
      27.50000    6.1552E-02    0.0000E+00    6.8319E+00    0.0000E+00
      27.60000    5.9489E-02    0.0000E+00    6.8319E+00    0.0000E+00
      27.70000    5.7764E-02    0.0000E+00    6.8319E+00    0.0000E+00
      27.80000    5.6533E-02    0.0000E+00    6.8319E+00    0.0000E+00
      27.90000    5.5774E-02    0.0000E+00    6.8319E+00    0.0000E+00
      28.00000    5.5484E-02    0.0000E+00    6.8319E+00    0.0000E+00
      28.10000    5.5632E-02    0.0000E+00    6.8319E+00    0.0000E+00
      28.20000    5.5871E-02    0.0000E+00    6.8319E+00    0.0000E+00
      28.30000    5.6129E-02    0.0000E+00    6.8319E+00    0.0000E+00
      28.40000    5.6410E-02    0.0000E+00    6.8319E+00    0.0000E+00
      28.50000    5.6717E-02    0.0000E+00    6.8319E+00    0.0000E+00
      28.60000    5.7052E-02    0.0000E+00    6.8319E+00    0.0000E+00
      28.70000    5.7420E-02    0.0000E+00    6.8319E+00    0.0000E+00
      28.80000    5.7507E-02    0.0000E+00    6.7949E+00    0.0000E+00
      28.90000    5.7531E-02    0.0000E+00    6.7467E+00    0.0000E+00
      29.00000    5.7576E-02    0.0000E+00    6.6974E+00    0.0000E+00
      29.10000    5.7641E-02    0.0000E+00    6.6468E+00    0.0000E+00
      29.20000    5.7726E-02    0.0000E+00    6.5949E+00    0.0000E+00
      29.30000    5.7832E-02    0.0000E+00    6.5419E+00    0.0000E+00
      29.40000    5.7959E-02    0.0000E+00    6.4876E+00    0.0000E+00
      29.50000    5.8106E-02    0.0000E+00    6.4322E+00    0.0000E+00
      29.60000    5.8273E-02    0.0000E+00    6.3756E+00    0.0000E+00
      29.70000    5.8459E-02    0.0000E+00    6.3178E+00    0.0000E+00
